date,species,plot,sex,weight,device_remark,scientific_name
2013-07-16,DM,2,F,NA,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-16,DM,7,M,33,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-16,DM,3,M,NA,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-16,DM,1,M,NA,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-18,DM,3,M,40,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-18,DM,7,M,48,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-18,DM,4,F,29,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-18,DM,4,F,46,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-18,DM,7,M,36,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-18,DM,7,F,35,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-18,DM,8,F,22,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-18,DM,7,F,42,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-18,DM,4,F,41,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-18,DM,6,F,37,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-08-19,DO,8,F,52,NA,"Dondice occidentalis (Engel, 1925)"
2013-10-17,DO,3,F,33,NA,"Dondice occidentalis (Engel, 1925)"
2013-10-17,DO,3,F,50,NA,"Dondice occidentalis (Engel, 1925)"
2013-10-17,DO,17,F,48,NA,"Dondice occidentalis (Engel, 1925)"
2013-10-17,DO,17,F,31,NA,"Dondice occidentalis (Engel, 1925)"
2013-10-18,DO,8,F,41,NA,"Dondice occidentalis (Engel, 1925)"
2013-11-12,DO,1,F,44,NA,"Dondice occidentalis (Engel, 1925)"
2013-11-12,DO,1,M,48,NA,"Dondice occidentalis (Engel, 1925)"
2013-11-12,DS,9,F,117,NA,"Distonemurus desertus Krivokhatsky, 1992"
2013-11-12,DS,1,F,121,NA,"Distonemurus desertus Krivokhatsky, 1992"
2013-11-12,DS,20,M,115,NA,"Distonemurus desertus Krivokhatsky, 1992"
2013-11-12,DS,9,F,120,NA,"Distonemurus desertus Krivokhatsky, 1992"
2013-11-13,DS,17,F,118,NA,"Distonemurus desertus Krivokhatsky, 1992"
2013-11-13,DS,11,F,126,NA,"Distonemurus desertus Krivokhatsky, 1992"
2013-11-13,DS,17,M,132,scale not calibrated,"Distonemurus desertus Krivokhatsky, 1992"
2013-11-13,DS,14,F,113,scale not calibrated,"Distonemurus desertus Krivokhatsky, 1992"
2013-11-13,DS,11,F,122,NA,"Distonemurus desertus Krivokhatsky, 1992"
2013-11-13,DS,4,F,107,NA,"Distonemurus desertus Krivokhatsky, 1992"
2013-11-13,DS,4,F,115,NA,"Distonemurus desertus Krivokhatsky, 1992"
2013-11-14,DO,8,F,39,NA,"Dondice occidentalis (Engel, 1925)"
2013-12-10,DO,9,F,40,NA,"Dondice occidentalis (Engel, 1925)"
2013-12-10,DO,1,M,45,NA,"Dondice occidentalis (Engel, 1925)"
2013-12-11,DO,8,F,41,NA,"Dondice occidentalis (Engel, 1925)"
2014-01-08,NA,2,NA,NA,NA,Not Available
2014-01-08,DM,2,M,44,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-01-08,DM,2,M,38,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-01-08,OL,2,NA,NA,NA,"Olios scepticus Chamberlin, 1924"
2014-01-08,PE,2,M,22,NA,"Petrochelidon nigricans (Vieillot, 1817)"
2014-01-08,DM,2,M,38,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-01-08,DM,2,M,48,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-01-08,DM,2,M,43,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-01-08,DM,2,F,35,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-01-08,DM,2,M,43,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-01-08,DM,2,F,37,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-01-08,PF,2,F,7,NA,"Piffliella eduardi Hammer, 1979"
2014-01-08,DM,2,M,45,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-01-08,OT,2,NA,NA,NA,"Ottoicus dissitus Drake, 1960"
2014-01-08,DS,2,M,157,scale not calibrated,"Distonemurus desertus Krivokhatsky, 1992"
2014-01-08,OX,2,NA,NA,NA,"Oxybelus pallidus Arnold, 1927"
2014-01-08,DM,4,F,37,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-01-08,PF,3,M,7,NA,"Piffliella eduardi Hammer, 1979"
2014-01-09,DM,1,M,40,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-01-09,DM,1,F,36,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-01-09,DS,1,F,135,NA,"Distonemurus desertus Krivokhatsky, 1992"
2014-01-09,DS,4,F,128,NA,"Distonemurus desertus Krivokhatsky, 1992"
2014-01-10,DM,4,F,42,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-01-11,DM,4,M,37,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-01-12,DM,4,M,NA,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-01-13,DM,4,F,48,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-01-14,DM,4,M,45,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-01-15,DM,4,F,42,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-01-16,DO,4,M,52,NA,"Dondice occidentalis (Engel, 1925)"
2014-01-17,OL,4,M,35,NA,"Olios scepticus Chamberlin, 1924"
2014-01-20,DM,1,F,39,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-01-20,DM,1,M,43,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-01-20,DS,1,F,144,NA,"Distonemurus desertus Krivokhatsky, 1992"
2014-02-18,NA,2,M,218,scale not calibrated,Not Available
2014-02-18,PF,2,F,7,NA,"Piffliella eduardi Hammer, 1979"
2014-02-18,DM,2,M,52,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-02-18,OT,3,M,24,NA,"Ottoicus dissitus Drake, 1960"
2014-02-18,OT,3,F,23,NA,"Ottoicus dissitus Drake, 1960"
2014-03-11,NA,3,M,232,NA,Not Available
2014-03-11,OT,3,F,22,NA,"Ottoicus dissitus Drake, 1960"
2014-03-11,OT,3,M,26,NA,"Ottoicus dissitus Drake, 1960"
2014-03-11,PF,3,M,8,NA,"Piffliella eduardi Hammer, 1979"
2014-03-13,DM,1,F,51,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-03-13,DM,1,F,44,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2014-03-13,DS,1,F,146,NA,"Distonemurus desertus Krivokhatsky, 1992"
2014-04-08,NA,3,F,NA,NA,Not Available
2014-05-06,NA,3,NA,NA,NA,Not Available
2014-05-18,NA,3,F,182,NA,Not Available
2014-06-09,OT,3,F,29,NA,"Ottoicus dissitus Drake, 1960"
2014-07-08,NA,3,F,115,NA,Not Available
2014-07-08,NA,3,M,190,NA,Not Available
